,percent,fkgl,bleu,sari,percent,fkgl,bleu,sari,percent,fkgl,bleu,sari,percent,fkgl,bleu,sari,percent,fkgl,bleu,sari,percent,fkgl,bleu,sari
0,10.0,3.7287929999999965,0.23300299999999996,0.362637,10.0,4.107119999999995,0.2333799999999999,0.36270600000000003,10.0,3.9586419999999998,0.23434500000000003,0.362742,10.0,3.7331369999999993,0.23360199999999998,0.3625800000000002,10.0,4.0982,0.23373299999999994,0.3626470000000001,10.0,3.490889,0.23059900000000014,0.3625200000000001
1,20.0,3.252256000000001,0.22870599999999996,0.36240000000000017,20.0,4.009126000000003,0.22932599999999995,0.3625730000000001,20.0,3.708898999999999,0.23119199999999993,0.362619,20.0,3.264061999999999,0.229749,0.3622890000000002,20.0,3.990737999999999,0.22995400000000005,0.36239800000000016,20.0,2.776846,0.22369599999999998,0.36220100000000016
2,30.0,2.776160999999999,0.22434900000000013,0.3621670000000004,30.0,3.9125019999999955,0.225323,0.36240600000000023,30.0,3.4564099999999978,0.228058,0.36247300000000027,30.0,2.791249,0.22580699999999998,0.361992,30.0,3.88509,0.22608300000000003,0.3621600000000003,30.0,2.0636799999999993,0.21695899999999996,0.361941
3,40.0,2.3027770000000016,0.21997800000000006,0.361933,40.0,3.817705999999995,0.22162899999999996,0.36233100000000035,40.0,3.2100169999999992,0.22467800000000007,0.3623370000000002,40.0,2.3177039999999995,0.22179499999999994,0.36171299999999995,40.0,3.8620810000000008,0.22235500000000002,0.3619370000000001,40.0,1.3578819999999998,0.21039999999999992,0.3616839999999998
4,50.0,1.8285839999999984,0.2158219999999999,0.3617519999999997,50.0,3.7234189999999967,0.21736600000000006,0.36212700000000014,50.0,2.9589949999999994,0.2215160000000001,0.3622390000000001,50.0,1.8520560000000006,0.21759400000000007,0.3613730000000001,50.0,3.9551260000000013,0.21843100000000004,0.3617279999999998,50.0,0.6523980000000003,0.203595,0.36141099999999987
5,60.0,1.7456539999999978,0.211863,0.3615779999999999,60.0,3.630577000000001,0.21362900000000015,0.362014,60.0,2.710214000000001,0.21841399999999994,0.3621670000000003,60.0,1.7679520000000004,0.21380900000000008,0.361153,60.0,3.9441180000000005,0.21475100000000003,0.36153199999999974,60.0,0.34335300000000013,0.197212,0.361188
6,70.0,1.276944,0.20753,0.361343,70.0,3.929841000000003,0.20974499999999996,0.3619019999999999,70.0,2.460177,0.2151499999999999,0.36203999999999986,70.0,1.2941430000000003,0.20986099999999994,0.36092800000000014,70.0,3.8394589999999993,0.21039199999999994,0.36120300000000005,70.0,-0.3514609999999999,0.19029099999999996,0.360935
7,80.0,1.1936309999999994,0.20330699999999993,0.3611690000000001,80.0,3.839258000000001,0.2058600000000001,0.3617779999999998,80.0,2.2117599999999986,0.2119509999999999,0.3619519999999997,80.0,1.2050990000000004,0.205665,0.36060200000000014,80.0,3.734281999999999,0.20679299999999998,0.36110299999999995,80.0,-0.660214,0.184295,0.36084600000000017
8,90.0,1.012822,0.19944099999999995,0.3610000000000001,90.0,3.7498770000000015,0.20223399999999989,0.3616829999999998,90.0,1.9613959999999984,0.20861600000000005,0.36187499999999984,90.0,0.7371950000000002,0.20174700000000004,0.36036000000000007,90.0,3.6251259999999985,0.2031889999999999,0.3609070000000003,90.0,-1.3520389999999998,0.177454,0.36059699999999995
9,100.0,0.645938,0.19528700000000002,0.36080500000000026,100.0,3.661947999999999,0.19853500000000016,0.36157699999999976,100.0,1.7110000000000023,0.2052000000000001,0.36179999999999984,100.0,0.6532279999999999,0.197711,0.36013199999999984,100.0,3.5706250000000015,0.199093,0.36070300000000016,100.0,-1.647887000000001,0.17101500000000006,0.3604139999999997
